salary_id,job_id,max_salary,med_salary,min_salary,pay_period,currency,compensation_type
1533,3887836617,,165000.0,,YEARLY,USD,BASE_SALARY
1536,3887841111,,2000.0,,MONTHLY,USD,BASE_SALARY
1539,3884933136,150000.0,,125000.0,YEARLY,USD,BASE_SALARY
1541,3885805809,124000.0,,75000.0,YEARLY,USD,BASE_SALARY
1546,3887836947,,2000.0,,MONTHLY,USD,BASE_SALARY
1552,3884809577,13356.0,,8967.0,MONTHLY,USD,BASE_SALARY
1561,3887836943,,2000.0,,MONTHLY,USD,BASE_SALARY
1576,3887831873,32.41,,32.41,HOURLY,USD,BASE_SALARY
1577,3884989880,185000.0,,92500.0,YEARLY,USD,BASE_SALARY
1588,3887839224,,66.0,,HOURLY,USD,BASE_SALARY
1594,3884928162,1500000.0,,350000.0,YEARLY,USD,BASE_SALARY
1614,3887868069,252000.0,,138000.0,YEARLY,USD,BASE_SALARY
1620,3887842030,,52.75,,HOURLY,USD,BASE_SALARY
1621,3884438443,110000.0,,85000.0,YEARLY,USD,BASE_SALARY
1622,3884921478,1500000.0,,350000.0,YEARLY,USD,BASE_SALARY
1628,3884807788,65000.0,,40000.0,YEARLY,USD,BASE_SALARY
1635,3887839231,,52.0,,HOURLY,USD,BASE_SALARY
1647,3887841164,,66.0,,HOURLY,USD,BASE_SALARY
1659,3887862580,,13.0,,HOURLY,USD,BASE_SALARY
1662,3885812151,124000.0,,81000.0,YEARLY,USD,BASE_SALARY
1668,3887841178,,66.0,,HOURLY,USD,BASE_SALARY
1674,3884819774,,20.67,,HOURLY,USD,BASE_SALARY
1675,3884820683,,25.0,,HOURLY,USD,BASE_SALARY
1684,3884811171,116582.0,,55808.0,YEARLY,USD,BASE_SALARY
1688,3887865039,,13.0,,HOURLY,USD,BASE_SALARY
1696,3885817031,25.0,,22.0,HOURLY,USD,BASE_SALARY
1703,3884806854,42.0,,32.0,HOURLY,USD,BASE_SALARY
1706,3884818898,,20.67,,HOURLY,USD,BASE_SALARY
1712,3885352685,185000.0,,110000.0,YEARLY,USD,BASE_SALARY
1728,3884817961,,25.0,,HOURLY,USD,BASE_SALARY
1743,3884928681,100000.0,,85000.0,YEARLY,USD,BASE_SALARY
1748,3885808742,124000.0,,75000.0,YEARLY,USD,BASE_SALARY
1756,3887840142,,57.0,,HOURLY,USD,BASE_SALARY
